certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
602/2010,,,"usd 8.012,80",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,10 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
602/2010,,,"usd 5.905.674,54",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
662/2012,,,"usd 15.660,32",brn internacional indústria e comércio ltda.,azuimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"sonda oblíqua e kit peças de reposição, ambos destinados ao projeto de açúcar",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,28/03/2012 - 92ª ro,cofig/camex,,,,,,,brn comercio e industria internacional,azuimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Equipamentos
689/2012,,,"usd 105.804,38",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,06/09/2012 - 98ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
708/2013,,,"usd 7.311.611,27",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"obras de ampliação e modernização do porto de mariel e de sua infraestrutura de acesso, na república de cuba.",banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,17/06/2013,cofig/camex,,,,,,,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2013.0,Construção Civil
747/2014,,,"usd 128.722,66",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
771/2015,,,"usd 130.022,45",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
630/2011,2020-12-06,,"usd 503.469,50",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
695/2012,2023-09-03,,"usd 12.820.600,73",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,,,,,,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2023.0,2012.0,Aeronaves
566/2010,,,"usd 16.635.632,53",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,,2010.0,Construção Civil
404/2008,,,"usd 1.642.448,16",companhia de obras e infraestrutura.,transproy,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,11/05/2008 - 49ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,transproy,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
653/2011,,,"usd 5.324.826,82",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"materiais, equipamentos e serviços destinados à obras",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,22/11/2011 - 88ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2011.0,Construção Civil
700/2012,,,"usd 133.106,34",nogueira indústria e comércio de implementos e máquinas agrícolas s.a.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,componentes para máquinas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/10/2012 - 99ª ro,cofig/camex,,,,,,,agricolas comercio de e e implementos industria maquinas nogueira sa,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Equipamentos
704/2013,,,"usd 194.107,91",volvo do brasil veículos ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"escavadeiras, motoniveladoras e acessórios",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,14/02/2013 - 102ª ro,cofig/camex,,,,,,,brasil do veiculos volvo,construimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Veículos
771/2015,,,"usd 542.258,44",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
630/2011,2020-12-06,,"usd 507.878,50",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
697/2012,,,"usd 31.333,68",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,estrutura de passarelas e escadas de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,12/12/2012 - 100ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
699/2012,,,"usd 20.611,07",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,,,,,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
740/2014,,,"usd 39.262,37",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,peças de reposição para equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2014 - 112ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2014.0,Agronegócio
747/2014,,,"usd 104.833,53",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
630/2011,2020-12-06,,"usd 1.924.283,37",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
602/2010,,,"usd 5.133.143,68",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
630/2011,2020-12-06,,"usd 499.906,95",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
602/2010,,,"usd 64.340,62",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
555/2010,,,"usd 5.280.079,79",companhia de obras e infa-estrutura,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços para a etapa ii das obras do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,"semestral, ao longo do período de amortização",10/05/2010 - 70ª ro,cofig/camex,,,,,,,companhia de e infaestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2010.0,Construção Civil
689/2012,,,"usd 4.648,52",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,06/09/2012 - 98ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
697/2012,,,"usd 66.417,61",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,estrutura de passarelas e escadas de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,12/12/2012 - 100ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
747/2014,,,"usd 197.763,90",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
419/2008,,,"usd 25.676,32",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,,,,,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
699/2012,,,"usd 89.573,86",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,,,,,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
719/2013,,,"usd 577.599,23",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2013 - 106ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Agronegócio
747/2014,,,"usd 305.914,39",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
630/2011,2020-12-06,,"usd 503.535,78",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
695/2012,2023-11-05,,"usd 9.398.671,33",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,,,,,,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2023.0,2012.0,Aeronaves
565/2010,,,"usd 23.934.281,74",construtora andrade gutierrez s.a.,"empresa de producción social siderúrgica nacional, c.a.",banco nacional de desenvolvimento econômico e social - bndes,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/2010 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,ca de empresa nacional produccion siderurgica social,banco bndes de desenvolvimento e economico nacional social,,2010.0,Construção Civil
512/2009,,,"usd 3.733.802,30",companhia de obras e infraestrutura.,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,obras de ampliação e modernização do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2009.0,Construção Civil
719/2013,,,"usd 235.157,81",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2013 - 106ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Agronegócio
602/2010,,,"usd 613.448,77",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
565/2010,,,"usd 2.177.529,49",construtora andrade gutierrez s.a.,"empresa de producción social siderúrgica nacional, c.a.",construtora andrade gutierrez s.a.,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/2010 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,ca de empresa nacional produccion siderurgica social,andrade construtora gutierrez sa,,2010.0,Construção Civil
630/2011,2020-12-06,,"usd 1.903.530,19",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
602/2010,,,"usd 3.638.348,01",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
708/2013,,,"usd 7.224.423,49",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"obras de ampliação e modernização do porto de mariel e de sua infraestrutura de acesso, na república de cuba.",banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,17/06/2013,cofig/camex,,,,,,,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2013.0,Construção Civil
747/2014,,,"usd 126.637,92",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
771/2015,,,"usd 128.066,66",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
630/2011,2020-12-06,,"usd 493.999,61",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
602/2010,,,"usd 217.103,67",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
630/2011,2020-12-06,,"usd 495.854,90",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
602/2010,,,"usd 394.276,28",embraer s.a,"brasilmex leasing, llc",banco nacional de desenvolvimento econômico e social - bndes,méxico,11 aeronaves modelo emb 190lr,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",à vista,30/11/2010 - 76ª ro,cofig/camex,,,,,,,embraer sa,brasilmex leasing llc,banco bndes de desenvolvimento e economico nacional social,,2010.0,Aeronaves
404/2008,,,"usd 1.622.284,68",companhia de obras e infraestrutura.,transproy,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,11/05/2008 - 49ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,transproy,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
653/2011,,,"usd 5.286.155,05",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"materiais, equipamentos e serviços destinados à obras",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,22/11/2011 - 88ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2011.0,Construção Civil
700/2012,,,"usd 130.663,94",nogueira indústria e comércio de implementos e máquinas agrícolas s.a.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,componentes para máquinas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/10/2012 - 99ª ro,cofig/camex,,,,,,,agricolas comercio de e e implementos industria maquinas nogueira sa,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Equipamentos
704/2013,,,"usd 190.556,35",volvo do brasil veículos ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"escavadeiras, motoniveladoras e acessórios",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,14/02/2013 - 102ª ro,cofig/camex,,,,,,,brasil do veiculos volvo,construimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Veículos
771/2015,,,"usd 535.102,33",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
748/2014,,,"usd 8.203.914,34",construtora queiroz galvão s.a.,"república de gana, representada pelo ministério das finanças",deutsche bank,gana,"bens e serviços de engenharia, construção do fly-over kasoa, a região de acra",deutsche bank,buyers credit (financiamento ao importador),riscos políticos e extraordinários,financiado,12/09/2014 - 118ª ro,cofig/camex,,,,,,,construtora galvao queiroz sa,das de financas gana ministerio pelo representada republica,bank deutsche,,2014.0,Construção Civil
697/2012,,,"usd 30.784,66",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,estrutura de passarelas e escadas de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,12/12/2012 - 100ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
699/2012,,,"usd 20.250,27",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,,,,,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
740/2014,,,"usd 38.651,94",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,peças de reposição para equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2014 - 112ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2014.0,Agronegócio
747/2014,,,"usd 103.108,05",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
