Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
699/2012,15/02/2019,06/09/2019,"USD 23,979.84",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
708/2013,15/06/2019,06/09/2019,"USD 8,146,778.52",Companhia de Obras e Infraestrutura., Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Obras de ampliação e modernização do Porto de Mariel e de sua infraestrutura de acesso, na República de Cuba.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,14/06/2013,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
740/2014,15/02/2019,06/09/2019,"USD 10,529.95",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Peças de reposição para equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2014 - 112ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
747/2014,15/02/2019,06/09/2019,"USD 121,894.31",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
747/2014,15/06/2019,06/09/2019,"USD 126,039.54",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
771/2015,15/06/2019,06/09/2019,"USD 146,202.16",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
758/2014,28/05/2019,13/09/2019,USD 124.65,Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,não,não,não,não,Thayana ,Verificar arquivos no Ministério
566/2010,08/05/2019,30/09/2019,"USD 18,724,110.36",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,sim,sim,4713247,4713247,Thayana ,
695/2012,08/05/2019,30/09/2019,"USD 14,228,409.05",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,sim,sim,4632127,4632127 4632215,Eduardo,"Os TC estão divididos em dois arquivos, mas estão completos."
404/2008,15/07/2019,09/10/2019,"USD 1,896,393.68",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
417/2008,15/07/2019,09/10/2019,"USD 36,783.40",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
419/2008,15/07/2019,09/10/2019,"USD 165,421.52",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
426/2008,15/03/2019,09/10/2019,"USD 10,236.12",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
431/2008,15/07/2019,09/10/2019,"USD 41,672.05",Basim Máquinas S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquina enchedora e fechadora de ampolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
434/2008,15/03/2019,09/10/2019,"USD 55,059.51",Thyssenkrupp Elevadores S.A.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elevadores para a modernização de hotéis,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
437/2008,15/07/2019,09/10/2019,"USD 60,823.26",Campak Brasil S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas encartuchadoras,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
511/2009,15/07/2019,09/10/2019,"USD 192,001.40",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
533/2010,15/07/2019,09/10/2019,"USD 82,529.72",Himapel Máquinas Industriais Ltda.,Quimimpex,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/07/2019,09/10/2019,"USD 36,654.81",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
538/2010,15/07/2019,09/10/2019,"USD 41,726.00",CNH Latin América Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,16/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
555/2010,15/03/2019,09/10/2019,"USD 5,926,271.58",Companhia de Obras e Infa-Estrutura,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços para a etapa II das obras do Porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,"Semestral, ao longo do período de amortização",10/05/2010 - 70ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
581/2010,15/03/2019,09/10/2019,"USD 33,351.19",Armco Staco S.A. - Indústria Metalúrgica,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,14/07/2010 - 72ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
585/2010,15/07/2019,09/10/2019,"USD 101,969.95",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
611/2011,15/07/2019,09/10/2019,"USD 46,289.54",Volvo do Brasil Veículos Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Caminhões com implemento compactador de resíduos sólidos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/01/2011 - 78ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
653/2011,15/07/2019,09/10/2019,"USD 5,902,113.16",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
663/2012,15/07/2019,09/10/2019,"USD 148,143.51",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,13/03/2012 - 92ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
689/2012,15/03/2019,09/10/2019,"USD 5,443.63",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
697/2012,15/03/2019,09/10/2019,"USD 77,202.27",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
700/2012,15/07/2019,09/10/2019,"USD 152,975.16",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
704/2013,15/07/2019,09/10/2019,"USD 222,999.25",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
747/2014,15/03/2019,09/10/2019,"USD 43,846.20",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
771/2015,15/07/2019,09/10/2019,"USD 605,829.43",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
758/2014,26/06/2019,10/10/2019,"USD 10,676.82",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,não,não,não,não,Thayana ,Verificar arquivos no Ministério
791/2016,01/08/2019,23/10/2019,"USD 97,382.22",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,,não ,não,Ana ,
791/2016,04/08/2019,23/10/2019,"USD 66,492.78",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,,não ,não,Ana ,
403/2008,15/04/2019,08/11/2019,"USD 58,288.16",TRACAN máquinas e sistemas para agricultura Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Veículos de transbordo de cana-de-açúcar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
411/2008,16/08/2019,08/11/2019,"USD 31,600.86",F.M. Coempar Comercial Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
417/2008,16/08/2019,08/11/2019,"USD 95,347.71",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
418/2008,15/04/2019,08/11/2019,"USD 21,610.77",Toledo do Brasil Indústria de Balanças Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Balanças rodoviárias digitais,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
